config,ip2p_rain_test_kept,ip2p_rain_test_pct,ip2p_snow_test_kept,ip2p_snow_test_pct,ip2p_rain_train_kept,ip2p_rain_train_pct,ip2p_snow_train_kept,ip2p_snow_train_pct
loose,2304,76.69773635153129,2980,99.20106524633822,5184,73.96204879440718,6909,98.57326294763875
moderate,1864,62.050599201065246,2940,97.86950732356857,4130,58.924240262519625,6755,96.37608788700243
current,1652,54.99334221038615,2940,97.86950732356857,3626,51.73348551861891,6322,90.19831645027821
strict,1392,46.33821571238349,2793,92.97603195739015,3048,43.486945355970896,5680,81.038664574119
tight,1041,34.6537949400799,2539,84.52063914780294,2259,32.22999001284063,4393,62.6765587102297
no_lpips,1830,60.918774966711055,2940,97.86950732356857,4022,57.38336424596947,6322,90.19831645027821
