condition,n_imgs,n_gt_boxes,mAP_clear,mAP_cond,delta_clear
rain,100,565,0.4956,0.3331,0.1625
rain_heavy,100,565,0.4956,0.2778,0.2178
snow,100,585,0.4141,0.3175,0.0966
snow_heavy,100,343,0.9206,0.6917,0.2289
fog_light,100,176,0.0223,0.0202,0.0021
fog_medium,100,396,0.8714,0.8345,0.0368
fog_heavy,100,343,0.9206,0.8535,0.0672
night,100,460,0.5093,0.3581,0.1511
