condition,n_imgs,n_gt_boxes,mAP_clear,mAP_cond,delta_clear
rain,100,565,0.5111,0.2944,0.2167
rain_heavy,100,565,0.5111,0.2305,0.2806
snow,100,585,0.4869,0.3010,0.1859
snow_heavy,100,343,0.9078,0.6454,0.2624
fog_light,100,176,0.0471,0.1015,-0.0544
fog_medium,100,396,0.8828,0.8619,0.0209
fog_heavy,100,343,0.9078,0.8698,0.0380
night,100,460,0.5291,0.3057,0.2234
