ref_id,ssim,batch_file,quality
0004999,0.22144993565445734,batch_0-100.arrow,LOW
0006277,0.7865827767697017,batch_1000-1100.arrow,HIGH
0006278,0.7647823723465605,batch_1000-1100.arrow,HIGH
0006282,0.7728804668989616,batch_1000-1100.arrow,HIGH
0006283,0.3711074057439184,batch_1000-1100.arrow,LOW
0006284,0.589056618837145,batch_1000-1100.arrow,LOW
0006285,0.6428777952672351,batch_1000-1100.arrow,HIGH
0006288,0.07074897838577476,batch_1000-1100.arrow,LOW
0006289,0.5409312095867933,batch_1000-1100.arrow,LOW
0006290,0.32837445113374014,batch_1000-1100.arrow,LOW
0006291,0.8043843532748021,batch_1000-1100.arrow,HIGH
0006292,0.729533311666085,batch_1000-1100.arrow,HIGH
0006293,0.47315540721202415,batch_1000-1100.arrow,LOW
0006294,0.13988485160221906,batch_1000-1100.arrow,LOW
0006295,0.5344109045588533,batch_1000-1100.arrow,LOW
0006296,0.7051820713473127,batch_1000-1100.arrow,HIGH
0006299,0.41849643800212766,batch_1000-1100.arrow,LOW
0006301,0.7626102617766528,batch_1000-1100.arrow,HIGH
0006304,0.6245734570130975,batch_1000-1100.arrow,HIGH
0006305,0.5565249570596651,batch_1000-1100.arrow,LOW
0006306,0.6598438287104699,batch_1000-1100.arrow,HIGH
0006307,0.7501622651177335,batch_1000-1100.arrow,HIGH
0006309,0.6353373608670356,batch_1000-1100.arrow,HIGH
0006310,0.5710158388779759,batch_1000-1100.arrow,LOW
0006313,0.6315796150399996,batch_1000-1100.arrow,HIGH
0006314,0.45766962519897786,batch_1000-1100.arrow,LOW
0006315,0.8080281010853344,batch_1000-1100.arrow,HIGH
0006318,0.7389412021903029,batch_1000-1100.arrow,HIGH
0006319,0.5071001965676812,batch_1000-1100.arrow,LOW
0006320,0.6445670759426165,batch_1000-1100.arrow,HIGH
0006323,0.6843641454610158,batch_1000-1100.arrow,HIGH
0006324,0.5471983023777024,batch_1000-1100.arrow,LOW
0006325,0.8353102892345768,batch_1000-1100.arrow,HIGH
0006326,0.031306039620525646,batch_1000-1100.arrow,LOW
0006327,0.6885657938661289,batch_1000-1100.arrow,HIGH
0006329,0.7251685875977434,batch_1000-1100.arrow,HIGH
0006330,0.7112650665540087,batch_1000-1100.arrow,HIGH
0006332,0.15499706858242457,batch_1000-1100.arrow,LOW
0006333,0.3459431719324432,batch_1000-1100.arrow,LOW
0006335,0.5742197846047156,batch_1000-1100.arrow,LOW
0006336,0.6150177266274549,batch_1000-1100.arrow,HIGH
0006337,0.5550913797295799,batch_1000-1100.arrow,LOW
0006339,0.052515226709279376,batch_1000-1100.arrow,LOW
0006340,0.27853415682802934,batch_1000-1100.arrow,LOW
0006342,0.33468096238156225,batch_1000-1100.arrow,LOW
0006343,0.5989454372297445,batch_1000-1100.arrow,LOW
0006344,0.7516826544501894,batch_1000-1100.arrow,HIGH
0006345,0.2678691746108608,batch_1000-1100.arrow,LOW
0006346,0.2508148435704641,batch_1000-1100.arrow,LOW
0006347,0.7769910810534055,batch_1000-1100.arrow,HIGH
0006348,0.5755965239508815,batch_1000-1100.arrow,LOW
0006349,0.7088346176910458,batch_1000-1100.arrow,HIGH
0006353,0.17759980379726212,batch_1000-1100.arrow,LOW
0006354,0.7873927678339422,batch_1000-1100.arrow,HIGH
0006362,0.7051583311663872,batch_1000-1100.arrow,HIGH
0006364,0.616726249241531,batch_1000-1100.arrow,HIGH
0006365,0.7442685245530489,batch_1000-1100.arrow,HIGH
0006366,0.3586061481412981,batch_1000-1100.arrow,LOW
0006367,0.6439673796198913,batch_1000-1100.arrow,HIGH
0006368,0.7765007029405183,batch_1000-1100.arrow,HIGH
0006369,0.6852548986268582,batch_1000-1100.arrow,HIGH
0006373,0.3914718566444843,batch_1000-1100.arrow,LOW
0006375,0.7273550705561687,batch_1000-1100.arrow,HIGH
0006376,0.5705317499732044,batch_1000-1100.arrow,LOW
0006377,0.6679347172536031,batch_1000-1100.arrow,HIGH
0006378,0.6170367400744595,batch_1000-1100.arrow,HIGH
0006381,0.6354352915363867,batch_1000-1100.arrow,HIGH
0006384,0.7073770043119788,batch_1000-1100.arrow,HIGH
0006385,0.5781433204255063,batch_1000-1100.arrow,LOW
0006386,0.37464129932737417,batch_1000-1100.arrow,LOW
0006387,0.5920028756339001,batch_1000-1100.arrow,LOW
0006388,0.2574441104539883,batch_1000-1100.arrow,LOW
0006389,0.7716757729432627,batch_1000-1100.arrow,HIGH
0006390,0.8164968715440124,batch_1000-1100.arrow,HIGH
0006391,0.8601302325143431,batch_1000-1100.arrow,HIGH
0006392,0.42461703504916026,batch_1000-1100.arrow,LOW
0006393,0.6429332637451703,batch_1000-1100.arrow,HIGH
0006395,0.7505639555763973,batch_1000-1100.arrow,HIGH
0006396,0.2667330290071672,batch_1000-1100.arrow,LOW
0006398,0.8089763489718284,batch_1000-1100.arrow,HIGH
0006399,0.6274743044036194,batch_1000-1100.arrow,HIGH
0006400,0.4528970140542124,batch_1000-1100.arrow,LOW
0006401,0.7255811824589928,batch_1000-1100.arrow,HIGH
0006402,0.05410281078298421,batch_1000-1100.arrow,LOW
0006403,0.7899481533108661,batch_1000-1100.arrow,HIGH
0006404,0.630307895075772,batch_1000-1100.arrow,HIGH
0006405,0.5739383483904293,batch_1000-1100.arrow,LOW
0006406,0.5856991029284644,batch_1000-1100.arrow,LOW
