Method,Variant,Weather,Total Images,SSIM Mean,SSIM Median,SSIM Std,SSIM Min,SSIM Max,Pass Rate (%),LPIPS Mean,LPIPS Std,Filter
Style Transfer,rain_0,rain,1763,0.6876035063314999,0.7392508412857808,0.15746000792373277,0.0063783136372987,0.8887052688399978,76.46057855927396,,,"SSIM [0.6, 0.95]"
Style Transfer,rain_1,rain,1861,0.5702237832192828,0.6173557095105019,0.1954151237254113,-0.0514957182232862,0.8606468144573807,54.11069317571199,,,"SSIM [0.6, 0.95]"
Style Transfer,rain_2,rain,2539,0.5925147147749463,0.6618756665630251,0.21109594934649129,-0.015710067519949,0.91234809626811,60.85072863332021,,,"SSIM [0.6, 0.95]"
Style Transfer,snow_0,snow,3322,0.5681099553301241,0.6408872379714002,0.20069809057664978,0.0010099550709157,0.8603029552717936,72.18543046357617,,,"SSIM [0.5, 0.95]"
Style Transfer,snow_1,snow,1661,0.4974977178851256,0.5140655680684828,0.1358121269218082,0.055751480932989,0.8087936994598858,54.966887417218544,,,"SSIM [0.5, 0.95]"
Style Transfer,snow_2,snow,2051,0.5078918966657258,0.5580354193333015,0.1858602771540701,-0.0023868941629244,0.8429755598349473,62.74987810823988,,,"SSIM [0.5, 0.95]"
IP2P Diffusion,ip2p_rain,rain,3004,0.6281768641810919,0.6693,0.1655044300846432,0.1726,0.9212,54.99334221038615,0.3460752663115846,0.16403868462665022,SSIM + LPIPS<0.35
IP2P Diffusion,ip2p_snow,snow,3004,0.7165299933422103,0.72805,0.08141364934845419,0.2252,0.923,97.86950732356857,,,SSIM only
