filename,ssim,in_range
hd1004.jpg,0.6700,YES
hd1000.jpg,0.5685,YES
hd1005.jpg,0.3941,NO
hd1001.jpg,0.5739,YES
hd1010.jpg,0.6011,YES
hd1006.jpg,0.5833,YES
hd1007.jpg,0.6342,YES
hd1003.jpg,0.6934,YES
hd1011.jpg,0.6485,YES
hd1012.jpg,0.3870,NO
hd1017.jpg,0.3168,NO
hd1013.jpg,0.3956,NO
hd1014.jpg,0.3959,NO
hd1015.jpg,0.6809,YES
hd1018.jpg,0.5269,YES
hd1016.jpg,0.5792,YES
hd1019.jpg,0.6585,YES
hd1020.jpg,0.5655,YES
hd1022.jpg,0.5848,YES
hd1029.jpg,0.2945,NO
hd1023.jpg,0.5763,YES
hd1026.jpg,0.4163,NO
hd1027.jpg,0.6765,YES
hd1030.jpg,0.6000,YES
hd1031.jpg,0.5580,YES
hd1032.jpg,0.4500,NO
hd1035.jpg,0.5298,YES
hd1036.jpg,0.5744,YES
hd1033.jpg,0.5505,YES
hd1037.jpg,0.4440,NO
hd1038.jpg,0.4902,NO
hd104.jpg,0.4250,NO
hd1041.jpg,0.4203,NO
hd1040.jpg,0.4972,NO
hd1042.jpg,0.5882,YES
hd1044.jpg,0.4897,NO
hd1045.jpg,0.5418,YES
hd1043.jpg,0.5370,YES
hd1046.jpg,0.7740,YES
hd1047.jpg,0.4519,NO
hd1050.jpg,0.4781,NO
hd1051.jpg,0.1376,NO
hd1053.jpg,0.4474,NO
hd1052.jpg,0.3539,NO
hd1054.jpg,0.3840,NO
hd1055.jpg,0.3856,NO
hd1056.jpg,0.5271,YES
hd1057.jpg,0.5572,YES
hd1059.jpg,0.3839,NO
hd106.jpg,0.3945,NO
hd1060.jpg,0.3861,NO
hd1061.jpg,0.4182,NO
hd1062.jpg,0.3685,NO
hd1063.jpg,0.6291,YES
hd1064.jpg,0.7312,YES
hd1066.jpg,0.5275,YES
hd1067.jpg,0.4310,NO
hd1069.jpg,0.5674,YES
hd1070.jpg,0.6998,YES
hd1071.jpg,0.7578,YES
hd1077.jpg,0.6333,YES
hd1073.jpg,0.6324,YES
hd1078.jpg,0.6919,YES
hd1079.jpg,0.6717,YES
hd1080.jpg,0.4008,NO
hd1082.jpg,0.6935,YES
hd1081.jpg,0.5832,YES
hd1083.jpg,0.6934,YES
hd1084.jpg,0.7357,YES
hd1085.jpg,0.6742,YES
hd1086.jpg,0.6882,YES
hd1088.jpg,0.6242,YES
hd1089.jpg,0.6452,YES
hd1093.jpg,0.5424,YES
hd1092.jpg,0.7039,YES
hd1091.jpg,0.6237,YES
hd1095.jpg,0.5670,YES
hd1096.jpg,0.5359,YES
hd1097.jpg,0.2749,NO
hd1098.jpg,0.6504,YES
hd1099.jpg,0.5310,YES
hd1104.jpg,0.6288,YES
hd1103.jpg,0.5524,YES
hd1105.jpg,0.6605,YES
hd1100.jpg,0.7268,YES
hd1107.jpg,0.7044,YES
hd1108.jpg,0.6234,YES
hd1106.jpg,0.6445,YES
hd1110.jpg,0.6166,YES
hd1109.jpg,0.6660,YES
hd111.jpg,0.4353,NO
hd1111.jpg,0.6274,YES
hd1112.jpg,0.6592,YES
hd1114.jpg,0.7477,YES
hd1113.jpg,0.6080,YES
hd1115.jpg,0.5991,YES
hd1117.jpg,0.6659,YES
hd1116.jpg,0.7110,YES
hd1118.jpg,0.6370,YES
hd1119.jpg,0.5846,YES
hd112.jpg,0.7395,YES
hd1121.jpg,0.6036,YES
hd1120.jpg,0.6582,YES
hd1122.jpg,0.6426,YES
hd1123.jpg,0.5491,YES
hd1124.jpg,0.6730,YES
hd1125.jpg,0.7172,YES
hd1126.jpg,0.6835,YES
hd1128.jpg,0.7610,YES
hd1127.jpg,0.6422,YES
hd1129.jpg,0.6505,YES
hd113.jpg,0.6891,YES
hd1130.jpg,0.7062,YES
hd1132.jpg,0.7222,YES
hd1131.jpg,0.6971,YES
hd1133.jpg,0.6717,YES
hd1134.jpg,0.4873,NO
hd1135.jpg,0.5774,YES
hd1136.jpg,0.6169,YES
hd1137.jpg,0.6538,YES
hd1138.jpg,0.6589,YES
hd1139.jpg,0.7044,YES
hd1140.jpg,0.6431,YES
hd114.jpg,0.6550,YES
hd1141.jpg,0.6674,YES
hd1142.jpg,0.7723,YES
hd1143.jpg,0.7055,YES
hd1144.jpg,0.7043,YES
hd1146.jpg,0.6183,YES
hd1145.jpg,0.4736,NO
hd1147.jpg,0.7304,YES
hd1148.jpg,0.6135,YES
hd1149.jpg,0.7034,YES
hd1150.jpg,0.4337,NO
hd1152.jpg,0.7553,YES
hd1153.jpg,0.5353,YES
hd1154.jpg,0.5174,YES
hd1155.jpg,0.6521,YES
hd1156.jpg,0.4924,NO
hd1157.jpg,0.4845,NO
hd1160.jpg,0.6623,YES
hd1158.jpg,0.5898,YES
hd1159.jpg,0.4352,NO
hd1161.jpg,0.5942,YES
hd1162.jpg,0.5347,YES
hd1163.jpg,0.5256,YES
hd1164.jpg,0.6102,YES
hd1165.jpg,0.6057,YES
hd1166.jpg,0.6647,YES
hd1168.jpg,0.7507,YES
hd1169.jpg,0.6251,YES
hd1170.jpg,0.7561,YES
hd1171.jpg,0.6614,YES
hd1172.jpg,0.6968,YES
hd1173.jpg,0.7720,YES
hd1174.jpg,0.6578,YES
hd1176.jpg,0.6290,YES
hd1177.jpg,0.7170,YES
hd1178.jpg,0.4551,NO
hd1179.jpg,0.6946,YES
hd1180.jpg,0.7492,YES
hd118.jpg,0.5653,YES
hd1181.jpg,0.7182,YES
hd1182.jpg,0.5685,YES
hd1183.jpg,0.6828,YES
hd1185.jpg,0.6392,YES
hd1186.jpg,0.5344,YES
hd1188.jpg,0.7564,YES
hd1190.jpg,0.6802,YES
hd119.jpg,0.5263,YES
hd1199.jpg,0.5463,YES
hd1201.jpg,0.6678,YES
hd1202.jpg,0.6144,YES
hd1204.jpg,0.7608,YES
hd1203.jpg,0.5222,YES
hd1206.jpg,0.4419,NO
hd1209.jpg,0.6918,YES
hd1210.jpg,0.7203,YES
hd1211.jpg,0.3970,NO
hd1212.jpg,0.5532,YES
hd1213.jpg,0.6662,YES
hd1214.jpg,0.3416,NO
hd1215.jpg,0.5397,YES
hd1216.jpg,0.2877,NO
hd1218.jpg,0.6824,YES
hd1219.jpg,0.6766,YES
hd122.jpg,0.7230,YES
hd1220.jpg,0.3781,NO
hd1221.jpg,0.5060,YES
hd1223.jpg,0.3499,NO
hd1224.jpg,0.3686,NO
hd1225.jpg,0.6933,YES
hd1226.jpg,0.3883,NO
hd1228.jpg,0.4420,NO
hd1229.jpg,0.2724,NO
hd1230.jpg,0.6750,YES
hd1232.jpg,0.6167,YES
hd1231.jpg,0.4037,NO
hd1233.jpg,0.7509,YES
hd1234.jpg,0.6334,YES
hd1236.jpg,0.7327,YES
hd1237.jpg,0.6459,YES
hd1238.jpg,0.6361,YES
hd1239.jpg,0.6810,YES
hd1242.jpg,0.4799,NO
hd1240.jpg,0.6163,YES
