filename,ssim,in_range
hd1221.jpg,0.7294,YES
hd1223.jpg,0.4121,NO
hd1224.jpg,0.4069,NO
hd1225.jpg,0.7813,YES
hd1226.jpg,0.4903,NO
hd1228.jpg,0.6685,YES
hd1230.jpg,0.7472,YES
hd1229.jpg,0.3684,NO
hd1231.jpg,0.7394,YES
hd1232.jpg,0.7068,YES
hd1233.jpg,0.7643,YES
hd1234.jpg,0.7784,YES
hd1236.jpg,0.7126,YES
hd1237.jpg,0.7229,YES
hd1238.jpg,0.8148,YES
hd1239.jpg,0.7392,YES
hd1240.jpg,0.6885,YES
hd1241.jpg,0.6632,YES
hd1242.jpg,0.6293,YES
hd1243.jpg,0.7798,YES
hd1245.jpg,0.7873,YES
hd1244.jpg,0.7542,YES
hd1249.jpg,0.7992,YES
hd1250.jpg,0.8224,YES
hd1246.jpg,0.7728,YES
hd1247.jpg,0.7435,YES
hd1248.jpg,0.7979,YES
hd1251.jpg,0.7959,YES
hd1252.jpg,0.7868,YES
hd1253.jpg,0.8035,YES
hd1255.jpg,0.5979,NO
hd1254.jpg,0.7530,YES
hd1258.jpg,0.7310,YES
hd1256.jpg,0.7698,YES
hd1257.jpg,0.6305,YES
hd1259.jpg,0.8147,YES
hd126.jpg,0.5451,NO
hd1260.jpg,0.7184,YES
hd1262.jpg,0.7606,YES
hd1264.jpg,0.7741,YES
hd1261.jpg,0.7362,YES
hd1263.jpg,0.7953,YES
hd1265.jpg,0.7213,YES
hd1266.jpg,0.7523,YES
hd1267.jpg,0.8138,YES
hd1268.jpg,0.7407,YES
hd1269.jpg,0.8216,YES
hd1270.jpg,0.8033,YES
hd1271.jpg,0.5964,NO
hd1272.jpg,0.5709,NO
hd1273.jpg,0.6113,YES
hd1274.jpg,0.5873,NO
hd1275.jpg,0.6106,YES
hd1276.jpg,0.5408,NO
hd1277.jpg,0.8227,YES
hd128.jpg,0.8121,YES
hd1278.jpg,0.7410,YES
hd1279.jpg,0.6523,YES
hd1280.jpg,0.6307,YES
hd1281.jpg,0.6613,YES
hd1282.jpg,0.8044,YES
hd1283.jpg,0.6083,YES
hd1284.jpg,0.6334,YES
hd1285.jpg,0.6678,YES
hd1287.jpg,0.6581,YES
hd1288.jpg,0.5249,NO
hd1289.jpg,0.7280,YES
hd1290.jpg,0.6795,YES
hd1291.jpg,0.8400,YES
hd1292.jpg,0.6689,YES
hd1293.jpg,0.6285,YES
hd1294.jpg,0.6419,YES
hd1295.jpg,0.8488,YES
hd1296.jpg,0.5595,NO
hd1298.jpg,0.8431,YES
hd1297.jpg,0.5461,NO
hd1299.jpg,0.5021,NO
hd13.jpg,0.8333,YES
hd1300.jpg,0.7441,YES
hd1301.jpg,0.8238,YES
hd1303.jpg,0.5478,NO
hd1302.jpg,0.5359,NO
hd1305.jpg,0.6053,YES
hd1304.jpg,0.6812,YES
hd1307.jpg,0.7399,YES
