filename,ssim,in_range
hd1004.jpg,0.8856,YES
hd1000.jpg,0.8308,YES
hd1010.jpg,0.7652,YES
hd1001.jpg,0.7958,YES
hd1005.jpg,0.5023,NO
hd1006.jpg,0.7793,YES
hd1007.jpg,0.7644,YES
hd1003.jpg,0.7925,YES
hd1011.jpg,0.7652,YES
hd1012.jpg,0.7865,YES
hd1017.jpg,0.3865,NO
hd1013.jpg,0.4011,NO
hd1014.jpg,0.5988,NO
hd1015.jpg,0.7899,YES
hd1016.jpg,0.8236,YES
hd1018.jpg,0.6561,YES
hd1019.jpg,0.8494,YES
hd1020.jpg,0.8308,YES
hd1023.jpg,0.7730,YES
hd1029.jpg,0.4088,NO
hd1022.jpg,0.7472,YES
hd1026.jpg,0.4675,NO
hd1027.jpg,0.8122,YES
hd1030.jpg,0.6920,YES
hd1031.jpg,0.7056,YES
hd1032.jpg,0.5819,NO
hd1036.jpg,0.6843,YES
hd1035.jpg,0.6300,YES
hd1033.jpg,0.7225,YES
hd1037.jpg,0.6463,YES
hd1038.jpg,0.6230,YES
hd104.jpg,0.4899,NO
hd1041.jpg,0.4943,NO
hd1040.jpg,0.5974,NO
hd1042.jpg,0.6268,YES
hd1044.jpg,0.7790,YES
hd1045.jpg,0.6658,YES
hd1043.jpg,0.6650,YES
hd1047.jpg,0.6540,YES
hd1046.jpg,0.8661,YES
hd1050.jpg,0.5901,NO
hd1053.jpg,0.4964,NO
hd1051.jpg,0.6938,YES
hd1052.jpg,0.4545,NO
hd1054.jpg,0.5876,NO
hd1055.jpg,0.5167,NO
hd1056.jpg,0.6752,YES
hd1057.jpg,0.6129,YES
hd1059.jpg,0.4799,NO
hd106.jpg,0.4981,NO
hd1060.jpg,0.5241,NO
hd1061.jpg,0.5261,NO
hd1062.jpg,0.5645,NO
hd1063.jpg,0.8706,YES
hd1064.jpg,0.8693,YES
hd1066.jpg,0.7040,YES
hd1067.jpg,0.6181,YES
hd1069.jpg,0.8282,YES
hd1070.jpg,0.8326,YES
hd1071.jpg,0.8505,YES
hd1073.jpg,0.8475,YES
hd1078.jpg,0.7798,YES
hd1077.jpg,0.7825,YES
hd1079.jpg,0.8009,YES
hd1080.jpg,0.4197,NO
hd1081.jpg,0.8231,YES
hd1082.jpg,0.7837,YES
hd1083.jpg,0.8521,YES
hd1084.jpg,0.8288,YES
hd1085.jpg,0.8602,YES
hd1086.jpg,0.8275,YES
hd1088.jpg,0.7829,YES
hd1089.jpg,0.8567,YES
hd1091.jpg,0.8256,YES
hd1092.jpg,0.8045,YES
hd1093.jpg,0.5417,NO
hd1095.jpg,0.7955,YES
hd1096.jpg,0.5892,NO
hd1097.jpg,0.8110,YES
hd1098.jpg,0.7902,YES
hd1103.jpg,0.8614,YES
hd1099.jpg,0.7598,YES
hd1104.jpg,0.8055,YES
hd1100.jpg,0.8250,YES
hd1105.jpg,0.7883,YES
hd1107.jpg,0.7705,YES
hd1108.jpg,0.5140,NO
hd1106.jpg,0.6893,YES
hd1110.jpg,0.7622,YES
hd1109.jpg,0.8167,YES
hd111.jpg,0.4910,NO
hd1111.jpg,0.9118,YES
hd1114.jpg,0.8364,YES
hd1112.jpg,0.8282,YES
hd1113.jpg,0.7886,YES
hd1115.jpg,0.7822,YES
hd1117.jpg,0.7194,YES
hd1116.jpg,0.7883,YES
hd1118.jpg,0.8345,YES
hd1121.jpg,0.7415,YES
hd1119.jpg,0.6059,YES
hd112.jpg,0.8460,YES
hd1120.jpg,0.7722,YES
hd1122.jpg,0.8041,YES
hd1123.jpg,0.8153,YES
hd1124.jpg,0.8426,YES
hd1128.jpg,0.7768,YES
hd1125.jpg,0.7880,YES
hd1126.jpg,0.7874,YES
hd1127.jpg,0.8163,YES
hd1129.jpg,0.7944,YES
hd113.jpg,0.7784,YES
hd1132.jpg,0.7719,YES
hd1130.jpg,0.8164,YES
hd1131.jpg,0.8291,YES
hd1133.jpg,0.8269,YES
hd1135.jpg,0.4748,NO
hd1134.jpg,0.7199,YES
hd1136.jpg,0.7894,YES
hd1137.jpg,0.8321,YES
hd1139.jpg,0.8109,YES
hd1138.jpg,0.8359,YES
hd1140.jpg,0.7881,YES
hd114.jpg,0.7947,YES
hd1141.jpg,0.8692,YES
hd1142.jpg,0.8390,YES
hd1143.jpg,0.8118,YES
hd1144.jpg,0.8292,YES
hd1146.jpg,0.7760,YES
hd1145.jpg,0.5988,NO
hd1147.jpg,0.8099,YES
hd1148.jpg,0.8370,YES
hd1152.jpg,0.7889,YES
hd1149.jpg,0.7446,YES
hd1150.jpg,0.4604,NO
hd1153.jpg,0.5584,NO
hd1154.jpg,0.5704,NO
hd1155.jpg,0.7690,YES
hd1156.jpg,0.6900,YES
hd1160.jpg,0.7468,YES
hd1157.jpg,0.5486,NO
hd1158.jpg,0.8275,YES
hd1159.jpg,0.5456,NO
hd1161.jpg,0.6040,YES
hd1164.jpg,0.8353,YES
hd1162.jpg,0.5605,NO
hd1163.jpg,0.6208,YES
hd1166.jpg,0.7717,YES
hd1165.jpg,0.6468,YES
hd1168.jpg,0.8270,YES
hd1169.jpg,0.8262,YES
hd1170.jpg,0.8183,YES
hd1171.jpg,0.7571,YES
hd1172.jpg,0.8256,YES
hd1176.jpg,0.8653,YES
hd1173.jpg,0.8036,YES
hd1174.jpg,0.6229,YES
hd1177.jpg,0.7658,YES
hd1178.jpg,0.6536,YES
hd1179.jpg,0.7607,YES
hd118.jpg,0.7666,YES
hd1180.jpg,0.7958,YES
hd1182.jpg,0.7912,YES
hd1181.jpg,0.7955,YES
hd1183.jpg,0.7916,YES
hd1185.jpg,0.7631,YES
hd1186.jpg,0.7355,YES
hd1188.jpg,0.8581,YES
hd1190.jpg,0.7923,YES
hd119.jpg,0.6212,YES
hd1201.jpg,0.8429,YES
hd1199.jpg,0.5970,NO
hd1204.jpg,0.7312,YES
hd1202.jpg,0.6494,YES
hd1203.jpg,0.5161,NO
hd1206.jpg,0.4922,NO
hd1209.jpg,0.8028,YES
hd1210.jpg,0.7521,YES
hd1211.jpg,0.6990,YES
hd1212.jpg,0.6272,YES
hd1213.jpg,0.8330,YES
hd1214.jpg,0.4151,NO
hd1215.jpg,0.6265,YES
hd1216.jpg,0.4220,NO
hd1218.jpg,0.7597,YES
hd1219.jpg,0.7237,YES
hd122.jpg,0.7761,YES
hd1220.jpg,0.4765,NO
hd1221.jpg,0.7180,YES
hd1223.jpg,0.4300,NO
hd1225.jpg,0.8052,YES
hd1224.jpg,0.4394,NO
hd1226.jpg,0.4694,NO
hd1228.jpg,0.6256,YES
hd1229.jpg,0.3850,NO
hd1230.jpg,0.7397,YES
hd1231.jpg,0.7105,YES
hd1232.jpg,0.7588,YES
hd1233.jpg,0.7453,YES
hd1234.jpg,0.8023,YES
hd1236.jpg,0.7189,YES
hd1237.jpg,0.7350,YES
hd1238.jpg,0.8527,YES
hd1239.jpg,0.7704,YES
hd1240.jpg,0.7065,YES
hd1241.jpg,0.7506,YES
hd1242.jpg,0.6027,YES
hd1243.jpg,0.7628,YES
hd1245.jpg,0.8319,YES
hd1244.jpg,0.7434,YES
hd1246.jpg,0.8163,YES
hd1247.jpg,0.7910,YES
hd1249.jpg,0.4628,NO
hd1250.jpg,0.8329,YES
