filename,ssim,in_range
hd1004.jpg,0.7806,YES
hd1000.jpg,0.8402,YES
hd1003.jpg,0.7854,YES
hd1001.jpg,0.7552,YES
hd1005.jpg,0.4550,NO
hd1010.jpg,0.8236,YES
hd1007.jpg,0.8044,YES
hd1006.jpg,0.8229,YES
hd1013.jpg,0.4497,NO
hd1011.jpg,0.8256,YES
hd1014.jpg,0.4455,NO
hd1012.jpg,0.4711,NO
hd1015.jpg,0.8338,YES
hd1017.jpg,0.4097,NO
hd1016.jpg,0.8173,YES
hd1018.jpg,0.5498,NO
hd1019.jpg,0.7986,YES
hd1023.jpg,0.8334,YES
hd1022.jpg,0.8590,YES
hd1020.jpg,0.8011,YES
hd1029.jpg,0.4602,NO
hd1026.jpg,0.4138,NO
hd1027.jpg,0.8144,YES
hd1030.jpg,0.5753,NO
hd1031.jpg,0.3674,NO
hd1032.jpg,0.5224,NO
hd1033.jpg,0.8336,YES
hd1036.jpg,0.6259,YES
hd1035.jpg,0.5919,NO
hd1037.jpg,0.5801,NO
hd1038.jpg,0.5702,NO
hd104.jpg,0.5352,NO
hd1041.jpg,0.5322,NO
hd1040.jpg,0.5803,NO
hd1042.jpg,0.5435,NO
hd1043.jpg,0.5745,NO
hd1044.jpg,0.5837,NO
hd1045.jpg,0.5333,NO
hd1046.jpg,0.5577,NO
hd1047.jpg,0.5396,NO
hd1053.jpg,0.5119,NO
hd1052.jpg,0.4507,NO
hd1051.jpg,0.5352,NO
hd1054.jpg,0.5335,NO
hd1055.jpg,0.4529,NO
hd1056.jpg,0.5727,NO
hd1050.jpg,0.5238,NO
hd1057.jpg,0.5234,NO
hd1059.jpg,0.4627,NO
hd106.jpg,0.5229,NO
hd1060.jpg,0.5050,NO
hd1061.jpg,0.4522,NO
hd1062.jpg,0.4901,NO
hd1064.jpg,0.8028,YES
hd1063.jpg,0.6921,YES
hd1066.jpg,0.7647,YES
hd1067.jpg,0.6382,YES
hd1069.jpg,0.8196,YES
hd1070.jpg,0.8375,YES
hd1071.jpg,0.8437,YES
hd1073.jpg,0.7788,YES
hd1077.jpg,0.8414,YES
hd1078.jpg,0.8156,YES
hd1079.jpg,0.8399,YES
hd1080.jpg,0.4769,NO
hd1081.jpg,0.8347,YES
hd1082.jpg,0.8468,YES
hd1083.jpg,0.8576,YES
hd1084.jpg,0.8550,YES
hd1085.jpg,0.8480,YES
hd1086.jpg,0.8533,YES
hd1088.jpg,0.8315,YES
hd1089.jpg,0.4771,NO
hd1091.jpg,0.4532,NO
hd1092.jpg,0.6577,YES
hd1093.jpg,0.7081,YES
hd1095.jpg,0.6868,YES
hd1096.jpg,0.6944,YES
hd1097.jpg,0.6978,YES
hd1098.jpg,0.4315,NO
hd1099.jpg,0.8252,YES
hd1103.jpg,0.5080,NO
hd1104.jpg,0.4466,NO
hd1105.jpg,0.4924,NO
hd1100.jpg,0.7666,YES
hd1107.jpg,0.4440,NO
hd1106.jpg,0.7723,YES
hd1108.jpg,0.5984,NO
hd1109.jpg,0.8280,YES
hd1110.jpg,0.4002,NO
hd111.jpg,0.4516,NO
hd1111.jpg,0.7372,YES
hd1114.jpg,0.8474,YES
hd1112.jpg,0.8045,YES
hd1113.jpg,0.8435,YES
hd1115.jpg,0.8353,YES
hd1117.jpg,0.4584,NO
hd1116.jpg,0.8504,YES
hd1121.jpg,0.4101,NO
hd1118.jpg,0.8248,YES
hd1119.jpg,0.6837,YES
hd112.jpg,0.8421,YES
hd1120.jpg,0.8415,YES
hd1122.jpg,0.8736,YES
hd1123.jpg,0.4539,NO
hd1124.jpg,0.8346,YES
hd1128.jpg,0.8387,YES
hd1125.jpg,0.8679,YES
hd1126.jpg,0.8562,YES
hd1127.jpg,0.8392,YES
hd1129.jpg,0.8321,YES
hd113.jpg,0.7980,YES
hd1130.jpg,0.8382,YES
hd1132.jpg,0.4611,NO
hd1131.jpg,0.8466,YES
hd1133.jpg,0.8225,YES
hd1135.jpg,0.6100,YES
hd1134.jpg,0.7737,YES
hd1136.jpg,0.8611,YES
hd1137.jpg,0.8440,YES
hd1138.jpg,0.8598,YES
hd1139.jpg,0.8365,YES
hd114.jpg,0.8676,YES
hd1140.jpg,0.8530,YES
hd1142.jpg,0.8486,YES
hd1141.jpg,0.8591,YES
hd1143.jpg,0.8455,YES
hd1144.jpg,0.8350,YES
hd1146.jpg,0.4630,NO
hd1145.jpg,0.5900,NO
hd1147.jpg,0.7754,YES
hd1148.jpg,0.8243,YES
hd1152.jpg,0.8148,YES
hd1150.jpg,0.4715,NO
hd1149.jpg,0.8397,YES
hd1153.jpg,0.6182,YES
hd1154.jpg,0.6366,YES
hd1155.jpg,0.7657,YES
hd1156.jpg,0.6268,YES
hd1157.jpg,0.5195,NO
hd1160.jpg,0.4650,NO
hd1158.jpg,0.8392,YES
hd1159.jpg,0.4928,NO
hd1161.jpg,0.6082,YES
hd1164.jpg,0.8107,YES
hd1162.jpg,0.5882,NO
hd1163.jpg,0.6226,YES
hd1166.jpg,0.7279,YES
hd1165.jpg,0.7117,YES
hd1168.jpg,0.8328,YES
hd1169.jpg,0.8435,YES
hd1170.jpg,0.8225,YES
hd1171.jpg,0.6283,YES
hd1173.jpg,0.8238,YES
hd1172.jpg,0.8441,YES
hd1176.jpg,0.5932,NO
hd1174.jpg,0.6042,YES
hd1177.jpg,0.8008,YES
hd1178.jpg,0.5970,NO
hd1179.jpg,0.8197,YES
hd118.jpg,0.4595,NO
hd1180.jpg,0.8539,YES
hd1181.jpg,0.8416,YES
hd1182.jpg,0.7068,YES
hd1183.jpg,0.6849,YES
hd1185.jpg,0.7516,YES
hd1186.jpg,0.5802,NO
hd1188.jpg,0.8111,YES
hd1190.jpg,0.4761,NO
hd119.jpg,0.5360,NO
hd1201.jpg,0.7900,YES
hd1199.jpg,0.5471,NO
hd1202.jpg,0.5998,NO
hd1204.jpg,0.4823,NO
hd1203.jpg,0.5251,NO
hd1206.jpg,0.4539,NO
hd1210.jpg,0.8261,YES
hd1209.jpg,0.8382,YES
hd1211.jpg,0.6271,YES
hd1212.jpg,0.5908,NO
hd1213.jpg,0.8046,YES
hd1214.jpg,0.3910,NO
hd1215.jpg,0.5955,NO
hd1216.jpg,0.3776,NO
hd1219.jpg,0.5291,NO
hd1218.jpg,0.4343,NO
hd122.jpg,0.8645,YES
hd1221.jpg,0.4695,NO
hd1223.jpg,0.4081,NO
hd1220.jpg,0.4924,NO
hd1224.jpg,0.4022,NO
hd1225.jpg,0.8549,YES
hd1226.jpg,0.4980,NO
hd1228.jpg,0.5957,NO
hd1229.jpg,0.3816,NO
hd1230.jpg,0.7964,YES
hd1231.jpg,0.8200,YES
hd1233.jpg,0.8234,YES
hd1232.jpg,0.8666,YES
hd1234.jpg,0.8280,YES
hd1236.jpg,0.8638,YES
hd1237.jpg,0.8430,YES
hd1238.jpg,0.4751,NO
hd1239.jpg,0.5634,NO
hd1242.jpg,0.5357,NO
hd1241.jpg,0.8811,YES
hd1240.jpg,0.8172,YES
hd1243.jpg,0.8454,YES
hd1245.jpg,0.8191,YES
hd1244.jpg,0.8558,YES
hd1246.jpg,0.8739,YES
hd1249.jpg,0.4856,NO
hd1250.jpg,0.7685,YES
hd1248.jpg,0.8141,YES
hd1247.jpg,0.8300,YES
hd1251.jpg,0.8150,YES
hd1252.jpg,0.7611,YES
hd1253.jpg,0.3904,NO
hd1254.jpg,0.5935,NO
hd1255.jpg,0.5176,NO
hd1256.jpg,0.8510,YES
hd1258.jpg,0.7291,YES
hd1257.jpg,0.5471,NO
hd1259.jpg,0.7129,YES
hd126.jpg,0.4973,NO
hd1260.jpg,0.7368,YES
hd1262.jpg,0.8429,YES
hd1261.jpg,0.5505,NO
hd1264.jpg,0.5301,NO
hd1263.jpg,0.5329,NO
hd1265.jpg,0.4689,NO
hd1266.jpg,0.5374,NO
hd1267.jpg,0.7687,YES
hd1268.jpg,0.5774,NO
hd1269.jpg,0.7352,YES
hd1270.jpg,0.5043,NO
hd1271.jpg,0.4340,NO
hd1272.jpg,0.5023,NO
hd1273.jpg,0.5154,NO
hd1274.jpg,0.7870,YES
hd1275.jpg,0.5905,NO
hd1276.jpg,0.5142,NO
hd1277.jpg,0.4684,NO
hd128.jpg,0.5128,NO
hd1279.jpg,0.6032,YES
hd1278.jpg,0.8494,YES
hd1280.jpg,0.5944,NO
hd1281.jpg,0.6003,YES
hd1282.jpg,0.7864,YES
hd1283.jpg,0.5789,NO
hd1284.jpg,0.5326,NO
hd1285.jpg,0.6084,YES
hd1287.jpg,0.5813,NO
hd1288.jpg,0.5260,NO
hd1290.jpg,0.5979,NO
hd1289.jpg,0.8518,YES
hd1291.jpg,0.4809,NO
hd1292.jpg,0.5791,NO
hd1293.jpg,0.4740,NO
hd1294.jpg,0.4504,NO
hd1295.jpg,0.8013,YES
hd1296.jpg,0.4593,NO
hd1298.jpg,0.8060,YES
hd1297.jpg,0.5000,NO
hd1299.jpg,0.4230,NO
hd13.jpg,0.8466,YES
hd1300.jpg,0.8208,YES
hd1301.jpg,0.8231,YES
hd1302.jpg,0.4295,NO
hd1303.jpg,0.5026,NO
hd1305.jpg,0.4279,NO
hd1304.jpg,0.6311,YES
hd1307.jpg,0.3941,NO
hd1309.jpg,0.5761,NO
hd131.jpg,0.6002,YES
hd1310.jpg,0.8161,YES
hd1311.jpg,0.8412,YES
hd1313.jpg,0.5406,NO
hd1314.jpg,0.6144,YES
hd1315.jpg,0.8393,YES
hd1317.jpg,0.7942,YES
hd1319.jpg,0.4079,NO
hd1318.jpg,0.8247,YES
hd1320.jpg,0.7945,YES
hd1323.jpg,0.8339,YES
hd1322.jpg,0.4502,NO
hd1324.jpg,0.7814,YES
hd1326.jpg,0.8281,YES
hd1327.jpg,0.8105,YES
hd1330.jpg,0.8423,YES
hd1329.jpg,0.8135,YES
hd1331.jpg,0.8242,YES
hd1332.jpg,0.8417,YES
hd1334.jpg,0.3921,NO
hd1333.jpg,0.8456,YES
hd1336.jpg,0.7828,YES
hd1337.jpg,0.8352,YES
hd1338.jpg,0.8497,YES
hd1339.jpg,0.8167,YES
hd1340.jpg,0.8137,YES
hd1341.jpg,0.8272,YES
hd1342.jpg,0.8215,YES
hd1343.jpg,0.8174,YES
hd1344.jpg,0.8365,YES
hd1345.jpg,0.8516,YES
hd1348.jpg,0.8613,YES
hd1349.jpg,0.8089,YES
hd1350.jpg,0.8213,YES
hd1351.jpg,0.8268,YES
hd1352.jpg,0.8162,YES
hd1353.jpg,0.8154,YES
hd1354.jpg,0.5710,NO
hd1355.jpg,0.4966,NO
hd1356.jpg,0.8291,YES
hd1357.jpg,0.5967,NO
hd1358.jpg,0.4885,NO
hd1360.jpg,0.8596,YES
hd1359.jpg,0.1986,NO
hd1361.jpg,0.5249,NO
hd1362.jpg,0.6387,YES
hd1363.jpg,0.6645,YES
hd1364.jpg,0.6016,YES
hd1365.jpg,0.7089,YES
hd1367.jpg,0.8393,YES
hd1368.jpg,0.5704,NO
hd1369.jpg,0.5020,NO
hd137.jpg,0.8468,YES
hd1370.jpg,0.8265,YES
hd1372.jpg,0.8382,YES
hd1371.jpg,0.5635,NO
hd1373.jpg,0.4866,NO
hd1374.jpg,0.4266,NO
hd1375.jpg,0.5706,NO
hd1377.jpg,0.5337,NO
hd1378.jpg,0.8275,YES
hd1379.jpg,0.4762,NO
hd1380.jpg,0.5039,NO
hd1381.jpg,0.6176,YES
hd1382.jpg,0.5193,NO
hd1383.jpg,0.5022,NO
hd1384.jpg,0.5180,NO
hd1385.jpg,0.6375,YES
hd1386.jpg,0.8515,YES
hd1387.jpg,0.6351,YES
hd1388.jpg,0.4923,NO
hd1389.jpg,0.8485,YES
hd1390.jpg,0.5065,NO
hd1391.jpg,0.5495,NO
hd1392.jpg,0.5354,NO
hd1394.jpg,0.5391,NO
hd1393.jpg,0.5760,NO
hd1396.jpg,0.8690,YES
hd1395.jpg,0.8190,YES
hd1397.jpg,0.5040,NO
hd1398.jpg,0.5654,NO
hd1399.jpg,0.5291,NO
hd14.jpg,0.8502,YES
hd1400.jpg,0.8400,YES
hd1401.jpg,0.5197,NO
hd1402.jpg,0.8555,YES
hd1404.jpg,0.5482,NO
hd1403.jpg,0.6499,YES
hd1406.jpg,0.4862,NO
hd1407.jpg,0.5313,NO
hd1409.jpg,0.4759,NO
hd1410.jpg,0.4932,NO
hd1411.jpg,0.7005,YES
hd1412.jpg,0.5198,NO
hd1413.jpg,0.4802,NO
hd1414.jpg,0.4989,NO
hd1415.jpg,0.5110,NO
hd1417.jpg,0.8052,YES
hd1418.jpg,0.8298,YES
hd1419.jpg,0.4817,NO
hd142.jpg,0.4350,NO
hd1420.jpg,0.7409,YES
hd1421.jpg,0.4892,NO
hd1422.jpg,0.8383,YES
hd1423.jpg,0.4244,NO
hd1424.jpg,0.5321,NO
hd1426.jpg,0.5499,NO
hd1427.jpg,0.5021,NO
hd1429.jpg,0.4664,NO
hd1428.jpg,0.5567,NO
hd143.jpg,0.7935,YES
hd1430.jpg,0.5311,NO
hd1432.jpg,0.8174,YES
hd1431.jpg,0.6497,YES
hd1433.jpg,0.5710,NO
hd1434.jpg,0.5158,NO
hd1436.jpg,0.4372,NO
hd1437.jpg,0.8501,YES
hd1438.jpg,0.5090,NO
hd1439.jpg,0.5191,NO
hd1440.jpg,0.5211,NO
hd1441.jpg,0.4975,NO
hd1442.jpg,0.7212,YES
hd1445.jpg,0.8515,YES
hd1443.jpg,0.8040,YES
hd1446.jpg,0.5098,NO
hd1448.jpg,0.8405,YES
hd1447.jpg,0.5030,NO
hd1450.jpg,0.4350,NO
hd1449.jpg,0.4447,NO
hd1451.jpg,0.7369,YES
hd1452.jpg,0.4258,NO
hd1453.jpg,0.3235,NO
hd1454.jpg,0.2820,NO
hd1455.jpg,0.8164,YES
hd1456.jpg,0.8331,YES
hd1457.jpg,0.2770,NO
hd1458.jpg,0.7353,YES
hd1459.jpg,0.8385,YES
hd1460.jpg,0.4279,NO
hd1461.jpg,0.6753,YES
hd1462.jpg,0.6845,YES
hd1463.jpg,0.6737,YES
hd1464.jpg,0.7704,YES
hd1465.jpg,0.2874,NO
hd1467.jpg,0.5598,NO
hd1468.jpg,0.6698,YES
hd1466.jpg,0.6708,YES
hd1469.jpg,0.7380,YES
hd1470.jpg,0.5124,NO
